code,date,ADX,name,industry,brief
001332,2025-09-12,18.427,锡装股份,专用设备,
605298,2025-08-25,21.987,必得科技,交运设备,
603275,2025-09-03,17.331,众辰科技,仪器仪表,
002222,2025-09-19,16.259,福晶科技,光学光电子,
002772,2025-09-11,18.751,众兴菌业,农牧饲渔,
600191,2025-09-05,18.368,华资实业,农牧饲渔,
600389,2025-08-20,18.718,江山股份,农药兽药,
603086,2025-09-29,19.456,先达股份,农药兽药,
002846,2025-08-29,21.016,英联股份,包装材料,
600160,2025-09-26,16.296,巨化股份,化学制品,
603301,2025-09-29,12.52,振德医疗,医疗器械,
603061,2025-09-24,15.319,金海通,半导体,
603893,2025-08-20,20.597,瑞芯微,半导体,
002277,2025-08-25,20.307,友阿股份,商业百货,
601116,2025-09-03,20.131,三江购物,商业百货,
605188,2025-08-27,20.209,国光连锁,商业百货,
002050,2025-09-30,14.578,三花智控,家电行业,
603486,2025-08-20,19.723,科沃斯,家电行业,
603726,2025-09-24,16.638,朗迪集团,家电行业,
600206,2025-08-22,19.145,有研新材,小金属,
600281,2025-09-30,19.55,华阳新材,小金属,
603993,2025-09-29,16.794,洛阳钼业,小金属,
002062,2025-09-04,18.199,宏润建设,工程建设,
002586,2025-09-29,16.642,*ST围海,工程建设,
603815,2025-09-26,14.183,交建股份,工程建设,
000425,2025-09-30,15.199,徐工机械,工程机械,
002272,2025-09-16,19.362,川润股份,工程机械,
000006,2025-09-22,17.742,深振业Ａ,房地产开发,
600638,2025-09-30,18.496,新黄浦,房地产开发,
600637,2025-09-29,15.633,东方明珠,文化传媒,
600936,2025-09-30,18.887,广西广电,文化传媒,
000796,2025-08-29,19.685,凯撒旅业,旅游酒店,
603099,2025-08-21,19.958,长白山,旅游酒店,
601212,2025-09-26,17.005,白银有色,有色金属,
002048,2025-08-27,20.135,宁波华翔,汽车零部件,
601138,2025-08-29,19.823,工业富联,消费电子,
603380,2025-09-12,16.157,易德龙,消费电子,
600333,2025-09-22,16.423,长春燃气,燃气,
600660,2025-09-24,15.027,福耀玻璃,玻璃玻纤,
600819,2025-09-22,17.08,XD耀皮玻,玻璃玻纤,
000958,2025-09-05,19.724,电投产融,电力行业,
600021,2025-08-28,18.607,上海电力,电力行业,
600979,2025-09-22,19.631,广安爱众,电力行业,
002384,2025-08-25,19.684,东山精密,电子元件,
600580,2025-09-11,18.205,卧龙电驱,电机,
002028,2025-09-26,15.529,思源电气,电网设备,
603606,2025-09-26,15.755,东方电缆,电网设备,
002029,2025-09-24,17.072,七 匹 狼,纺织服装,
600689,2025-09-04,18.345,上海三毛,纺织服装,
601718,2025-09-11,19.184,际华集团,纺织服装,
605055,2025-09-29,16.499,迎丰股份,纺织服装,
002918,2025-09-30,12.689,蒙娜丽莎,装修建材,
603516,2025-09-04,20.756,淳中科技,计算机设备,
002945,2025-09-04,18.439,华林证券,证券,
601069,2025-09-03,21.752,西部黄金,贵金属,
600382,2025-09-01,17.935,广东明珠,钢铁行业,
605338,2025-08-21,19.111,巴比食品,食品饮料,
