code,date,ADX,name,industry,brief
603698,2025-09-11,27.833,航天工程,专业服务,
002006,2025-09-16,32.958,精工科技,专用设备,
002527,2025-09-08,26.048,新时达,专用设备,
002529,2025-09-05,32.014,*ST海源,专用设备,
002698,2025-09-08,21.988,博实股份,专用设备,
003036,2025-09-05,23.079,泰坦股份,专用设备,
600501,2025-09-30,20.096,航天晨光,专用设备,
603081,2025-09-26,20.218,大丰实业,专用设备,
603416,2025-09-08,26.505,信捷电气,专用设备,
600080,2025-09-30,21.171,金花股份,中药,
603998,2025-09-23,20.495,方盛制药,中药,
002291,2025-09-30,16.038,遥望科技,互联网服务,
002642,2025-08-22,31.0,荣联科技,互联网服务,
600718,2025-09-16,25.318,东软集团,互联网服务,
603496,2025-09-10,22.279,恒为科技,互联网服务,
603613,2025-08-21,29.039,国联股份,互联网服务,
603881,2025-08-22,33.177,数据港,互联网服务,
603111,2025-08-25,39.63,康尼机电,交运设备,
605056,2025-09-24,21.276,咸亨国际,仪器仪表,
002129,2025-09-24,23.537,TCL中环,光伏设备,
603398,2025-09-10,38.311,*ST沐邦,光伏设备,
002638,2025-09-01,23.684,勤上股份,光学光电子,
600071,2025-09-12,26.547,凤凰光学,光学光电子,
000592,2025-08-21,33.036,平潭发展,农牧饲渔,
600975,2025-09-08,15.418,新五丰,农牧饲渔,
603363,2025-08-26,39.744,傲农生物,农牧饲渔,
002215,2025-09-16,19.537,诺 普 信,农药兽药,
002513,2025-09-23,28.292,蓝丰生化,农药兽药,
603360,2025-08-27,22.38,百傲化学,农药兽药,
605033,2025-08-20,24.579,美邦股份,农药兽药,
600210,2025-08-29,22.861,紫江企业,包装材料,
000985,2025-09-29,23.571,大庆华科,化学制品,
001333,2025-09-18,23.582,光华股份,化学制品,
002211,2025-08-20,30.969,ST宏达,化学制品,
002246,2025-09-22,27.469,北化股份,化学制品,
002453,2025-09-17,28.07,华软科技,化学制品,
600370,2025-08-20,24.134,三房巷,化学制品,
603010,2025-09-29,16.614,万盛股份,化学制品,
603790,2025-09-12,32.677,雅运股份,化学制品,
603948,2025-08-27,17.834,建业股份,化学制品,
