code,date,ADX,name,industry,brief
002197,2025-08-20,23.592,ST证通,计算机设备,
600489,2025-09-23,19.13,中金黄金,贵金属,
000061,2025-08-27,26.471,农 产 品,贸易行业,
002091,2025-09-26,16.639,江苏国泰,贸易行业,
600058,2025-08-22,23.03,五矿发展,贸易行业,
601698,2025-09-30,20.627,中国卫通,通信服务,
002446,2025-08-25,20.53,盛路通信,通信设备,
600487,2025-08-22,24.578,亨通光电,通信设备,
002426,2025-08-26,20.36,胜利精密,通用设备,
002559,2025-09-22,17.416,亚威股份,通用设备,
600243,2025-09-10,22.193,*ST海华,通用设备,
603391,2025-09-16,18.742,力聚热能,通用设备,
603863,2025-09-12,19.904,松炀资源,造纸印刷,
002207,2025-08-21,22.238,准油股份,采掘行业,
600022,2025-09-26,17.539,山东钢铁,钢铁行业,
603878,2025-09-15,22.563,武进不锈,钢铁行业,
600928,2025-08-29,17.863,西安银行,银行,
001301,2025-09-26,16.158,尚太科技,非金属材料,
001215,2025-09-15,21.042,千味央厨,食品饮料,
603696,2025-08-20,22.555,安记食品,食品饮料,
